starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 11 13:34:38 2018	1539279278	0	4	4	4
Thu Oct 11 13:34:38 2018	1539279278	0	8	9	8
Thu Oct 11 13:34:38 2018	1539279278	0	13	14	13
Thu Oct 11 13:34:38 2018	1539279278	0	17	17	17
Thu Oct 11 13:34:40 2018	1539279280	0	19	19	19
Thu Oct 11 13:34:40 2018	1539279280	0	19	19	19
Thu Oct 11 13:34:39 2018	1539279279	0	19	19	19
Thu Oct 11 13:34:40 2018	1539279280	0	19	19	19
Thu Oct 11 13:34:39 2018	1539279279	0	19	19	19
Thu Oct 11 13:34:39 2018	1539279279	0	19	19	19
Thu Oct 11 13:34:40 2018	1539279280	0	19	19	19
Thu Oct 11 13:34:40 2018	1539279280	0	19	19	19
Thu Oct 11 13:34:38 2018	1539279278	0	19	19	19
Thu Oct 11 13:34:40 2018	1539279280	0	19	19	19
Thu Oct 11 13:34:39 2018	1539279279	0	19	19	19
Thu Oct 11 13:34:39 2018	1539279279	0	19	19	19
Thu Oct 11 13:34:40 2018	1539279280	0	19	19	19
Thu Oct 11 13:34:40 2018	1539279280	0	19	19	19
Thu Oct 11 13:34:39 2018	1539279279	0	19	19	19
Thu Oct 11 13:34:40 2018	1539279280	0	19	19	19
Thu Oct 11 13:34:38 2018	1539279278	0	19	19	19
Thu Oct 11 13:34:38 2018	1539279278	0	19	19	19
Thu Oct 11 13:34:40 2018	1539279280	0	19	19	19
Thu Oct 11 13:34:40 2018	1539279280	0	19	19	19
Thu Oct 11 13:34:40 2018	1539279280	0	19	19	19
Thu Oct 11 13:34:39 2018	1539279279	0	19	19	19
Thu Oct 11 13:34:39 2018	1539279279	0	19	19	19
Thu Oct 11 13:34:40 2018	1539279280	0	19	19	19
Thu Oct 11 13:34:40 2018	1539279280	0	19	19	19
Thu Oct 11 13:34:38 2018	1539279278	0	19	19	19
Thu Oct 11 13:34:40 2018	1539279280	0	19	19	19
Thu Oct 11 13:34:40 2018	1539279280	0	19	19	19
Thu Oct 11 13:34:38 2018	1539279278	0	19	19	19
Thu Oct 11 13:34:40 2018	1539279280	0	19	19	19
Thu Oct 11 13:34:38 2018	1539279278	0	19	19	19
Thu Oct 11 13:34:40 2018	1539279280	0	19	19	19
Thu Oct 11 13:34:38 2018	1539279278	0	19	19	19
Thu Oct 11 13:34:38 2018	1539279278	0	19	19	19
Thu Oct 11 13:34:39 2018	1539279279	0	19	19	19
Thu Oct 11 13:34:39 2018	1539279279	0	19	19	19
Thu Oct 11 13:34:40 2018	1539279280	0	19	19	19
Thu Oct 11 13:34:40 2018	1539279280	0	19	19	19
Thu Oct 11 13:34:40 2018	1539279280	0	19	19	19
Thu Oct 11 13:34:38 2018	1539279278	0	19	19	19
Thu Oct 11 13:34:39 2018	1539279279	0	19	19	19
Thu Oct 11 13:34:40 2018	1539279280	0	19	20	19
Thu Oct 11 13:34:40 2018	1539279280	0	19	20	19
Thu Oct 11 13:34:39 2018	1539279279	0	19	20	19
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	19
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	19
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	19
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	19
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	19
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	19
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	19
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	19
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	19
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
