starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	20	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	21	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	21	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	21	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	21	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	21	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	21	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	21	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	21	20
Thu Oct 11 13:34:39 2018	1539279279	0	20	21	20
Thu Oct 11 13:34:38 2018	1539279278	0	20	21	20
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	20
Thu Oct 11 13:34:40 2018	1539279280	0	20	21	20
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	20
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	20
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	20
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	20
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	20
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	20
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	20
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	20
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	20
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:38 2018	1539279278	0	21	21	21
Thu Oct 11 13:34:40 2018	1539279280	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
Thu Oct 11 13:34:39 2018	1539279279	0	21	21	21
